ROUTE,DAY,DELAY
ORD-LAN,FRI,1106
ORD-BMI,FRI,1390
ORD-CWA,FRI,2903
ORD-CHS,FRI,753
ORD-CLT,FRI,6659
ORD-CHO,FRI,2626
ORD-TVC,FRI,2885
ORD-EAU,FRI,473
ORD-CVG,FRI,7882
ORD-COS,FRI,2492
ORD-CLE,FRI,7571
ORD-CAE,FRI,772
ORD-COU,FRI,1739
ORD-DFW,FRI,22041
ORD-MSN,FRI,4060
ORD-HNL,FRI,856
ORD-DEN,FRI,16964
ORD-DSM,FRI,7021
ORD-DTW,FRI,8215
ORD-DBQ,FRI,1274
ORD-DLH,FRI,1582
ORD-EGE,FRI,0
ORD-ELP,FRI,1342
ORD-ELM,FRI,1036
ORD-OMA,FRI,2665
ORD-ERI,FRI,668
ORD-EVV,FRI,2069
ORD-FAI,FRI,469
ORD-FLL,FRI,4883
ORD-FWA,FRI,3065
ORD-BZN,FRI,292
ORD-BOS,FRI,15859
ORD-MKE,FRI,9628
ORD-PIA,FRI,3055
ORD-IAH,FRI,9740
ORD-GRR,FRI,5437
ORD-FCA,FRI,151
ORD-GJT,FRI,0
ORD-ROC,FRI,2039
ORD-GSP,FRI,1353
ORD-MDT,FRI,3846
ORD-ATL,FRI,13560
ORD-FAR,FRI,3146
ORD-CMX,FRI,708
ORD-HSV,FRI,1774
ORD-IND,FRI,4297
ORD-JAC,FRI,995
ORD-JAN,FRI,803
ORD-JAX,FRI,1010
ORD-DAY,FRI,3957
ORD-FSD,FRI,3948
ORD-JFK,FRI,3888
ORD-CMH,FRI,7199
ORD-SNA,FRI,2888
ORD-OGG,FRI,397
ORD-AZO,FRI,1823
ORD-MCI,FRI,5311
ORD-LSE,FRI,1950
ORD-LGA,FRI,27243
ORD-ABE,FRI,993
ORD-LNK,FRI,1747
ORD-LAX,FRI,17954
ORD-MSY,FRI,3643
ORD-SDF,FRI,1570
ORD-CHA,FRI,832
ORD-MBS,FRI,1338
ORD-MHT,FRI,818
ORD-MHK,FRI,1255
ORD-LAS,FRI,10162
ORD-TYS,FRI,5940
ORD-MEM,FRI,4408
ORD-OAK,FRI,624
ORD-MIA,FRI,9646
ORD-MSP,FRI,15967
ORD-MOB,FRI,708
ORD-MTJ,FRI,104
ORD-MKG,FRI,656
ORD-MYR,FRI,473
ORD-BNA,FRI,7098
ORD-EWR,FRI,11614
ORD-ORF,FRI,1213
ORD-SJC,FRI,1292
ORD-XNA,FRI,5859
ORD-MCO,FRI,10509
ORD-PBI,FRI,688
ORD-PSP,FRI,260
ORD-PNS,FRI,139
ORD-PHL,FRI,12798
ORD-PHX,FRI,7937
ORD-GSO,FRI,288
ORD-PIT,FRI,3044
ORD-PDX,FRI,3545
ORD-PWM,FRI,644
ORD-MLI,FRI,1978
ORD-RDU,FRI,3567
ORD-RAP,FRI,746
ORD-RNO,FRI,1107
ORD-RIC,FRI,3020
ORD-ROA,FRI,852
ORD-RST,FRI,1754
ORD-DCA,FRI,14416
ORD-SMF,FRI,1162
ORD-SLC,FRI,6453
ORD-SAT,FRI,2065
ORD-SAN,FRI,5565
ORD-SFO,FRI,18833
ORD-SRQ,FRI,336
ORD-SAV,FRI,1432
ORD-MQT,FRI,1860
ORD-SEA,FRI,5581
ORD-SUX,FRI,1117
ORD-SBN,FRI,2284
