ROUTE,DAY,DELAY
ORD - MIA,SUN,7401
ORD - MIA,MON,12293
ORD - MIA,TUE,8443
ORD - MIA,WED,8106
ORD - MIA,THU,9901
ORD - MIA,FRI,9646
ORD - MIA,SAT,9760
ORD - JFK,SUN,5566
ORD - JFK,MON,7238
ORD - JFK,TUE,5050
ORD - JFK,WED,6194
ORD - JFK,THU,6063
ORD - JFK,FRI,3888
ORD - JFK,SAT,5002
ORD - LAX,SUN,16070
ORD - LAX,MON,25576
ORD - LAX,TUE,18274
ORD - LAX,WED,17242
ORD - LAX,THU,19781
ORD - LAX,FRI,17954
ORD - LAX,SAT,13396
