ROUTE,DAY,DELAY
CLT-BWI (Charlotte Douglas International  to Baltimore/Washington International Thurgood Marshall ),FRI,5314
CLT-BDL (Charlotte Douglas International  to Bradley International ),FRI,1504
CLT-BUF (Charlotte Douglas International  to Buffalo Niagara International ),FRI,1157
CLT-CHS (Charlotte Douglas International  to Charleston Air Force Base-International ),FRI,372
CLT-MDW (Charlotte Douglas International  to Chicago Midway International ),FRI,531
CLT-ORD (Charlotte Douglas International  to Chicago OHare International ),FRI,7583
CLT-CVG (Charlotte Douglas International  to Cincinnati Northern Kentucky International ),FRI,321
CLT-CLE (Charlotte Douglas International  to Cleveland Hopkins International ),FRI,838
CLT-DFW (Charlotte Douglas International  to Dallas Fort Worth International ),FRI,5813
CLT-DAL (Charlotte Douglas International  to Dallas Love Field),FRI,436
CLT-DEN (Charlotte Douglas International  to Denver International ),FRI,3116
CLT-DTW (Charlotte Douglas International  to Detroit Metropolitan Wayne County ),FRI,2613
CLT-FLL (Charlotte Douglas International  to Fort Lauderdale Hollywood International ),FRI,3109
CLT-BOS (Charlotte Douglas International  to General Edward Lawrence Logan International ),FRI,4838
CLT-IAH (Charlotte Douglas International  to George Bush Intercontinental Houston ),FRI,5769
CLT-ROC (Charlotte Douglas International  to Greater Rochester International ),FRI,444
CLT-MDT (Charlotte Douglas International  to Harrisburg International ),FRI,86
CLT-ATL (Charlotte Douglas International  to Hartsfield Jackson Atlanta International ),FRI,8652
CLT-IND (Charlotte Douglas International  to Indianapolis International ),FRI,295
CLT-JAX (Charlotte Douglas International  to Jacksonville International ),FRI,1996
CLT-JFK (Charlotte Douglas International  to John F Kennedy International ),FRI,6749
CLT-CMH (Charlotte Douglas International  to John Glenn Columbus International ),FRI,0
CLT-MCI (Charlotte Douglas International  to Kansas City International ),FRI,1565
CLT-LGA (Charlotte Douglas International  to La Guardia ),FRI,9216
CLT-LAX (Charlotte Douglas International  to Los Angeles International ),FRI,2690
CLT-MSY (Charlotte Douglas International  to Louis Armstrong New Orleans International ),FRI,1494
CLT-LAS (Charlotte Douglas International  to McCarran International ),FRI,2039
CLT-MEM (Charlotte Douglas International  to Memphis International ),FRI,1059
CLT-MIA (Charlotte Douglas International  to Miami International ),FRI,4129
CLT-MSP (Charlotte Douglas International  to Minneapolis-St Paul International/Wold-Chamberlain ),FRI,3154
CLT-BNA (Charlotte Douglas International  to Nashville International ),FRI,1098
CLT-EWR (Charlotte Douglas International  to Newark Liberty International ),FRI,7970
CLT-ORF (Charlotte Douglas International  to Norfolk International ),FRI,638
CLT-MCO (Charlotte Douglas International  to Orlando International ),FRI,5434
CLT-PBI (Charlotte Douglas International  to Palm Beach International ),FRI,2113
CLT-PHL (Charlotte Douglas International  to Philadelphia International ),FRI,5473
CLT-PHX (Charlotte Douglas International  to Phoenix Sky Harbor International ),FRI,3483
CLT-GSO (Charlotte Douglas International  to Piedmont Triad International ),FRI,134
CLT-PIT (Charlotte Douglas International  to Pittsburgh International ),FRI,2646
CLT-PDX (Charlotte Douglas International  to Portland International ),FRI,156
CLT-PWM (Charlotte Douglas International  to Portland International Jetport ),FRI,911
CLT-RDU (Charlotte Douglas International  to Raleigh Durham International ),FRI,2261
CLT-RIC (Charlotte Douglas International  to Richmond International ),FRI,1438
CLT-DCA (Charlotte Douglas International  to Ronald Reagan Washington National ),FRI,3817
CLT-SMF (Charlotte Douglas International  to Sacramento International ),FRI,441
CLT-SLC (Charlotte Douglas International  to Salt Lake City International ),FRI,631
CLT-SAT (Charlotte Douglas International  to San Antonio International ),FRI,520
CLT-SAN (Charlotte Douglas International  to San Diego International ),FRI,683
CLT-SFO (Charlotte Douglas International  to San Francisco International ),FRI,3227
CLT-SEA (Charlotte Douglas International  to Seattle Tacoma International ),FRI,1586
CLT-RSW (Charlotte Douglas International  to Southwest Florida International ),FRI,2156
CLT-SGF (Charlotte Douglas International  to Springfield Branson National ),FRI,84
CLT-STL (Charlotte Douglas International  to St Louis Lambert International ),FRI,1268
CLT-SYR (Charlotte Douglas International  to Syracuse Hancock International ),FRI,848
CLT-TPA (Charlotte Douglas International  to Tampa International ),FRI,3648
CLT-PVD (Charlotte Douglas International  to Theodore Francis Green State ),FRI,1299
CLT-TTN (Charlotte Douglas International  to Trenton Mercer ),FRI,1122
CLT-IAD (Charlotte Douglas International  to Washington Dulles International ),FRI,0
CLT-HOU (Charlotte Douglas International  to William P Hobby ),FRI,711
CLT-ILM (Charlotte Douglas International  to Wilmington International ),FRI,93
MDW-ALB (Chicago Midway International  to Albany International ),FRI,1559
MDW-ABQ (Chicago Midway International  to Albuquerque International Sunport),FRI,880
MDW-AUS (Chicago Midway International  to Austin Bergstrom International ),FRI,1452
MDW-BWI (Chicago Midway International  to Baltimore/Washington International Thurgood Marshall ),FRI,3467
MDW-LIT (Chicago Midway International  to Bill & Hillary Clinton National /Adams Field),FRI,768
MDW-BHM (Chicago Midway International  to Birmingham-Shuttlesworth International ),FRI,1293
MDW-BOI (Chicago Midway International  to Boise Air Terminal/Gowen Field),FRI,132
MDW-BDL (Chicago Midway International  to Bradley International ),FRI,1043
